id_document,_id,docs
0,638501434560876544,September Starts With A Sizzle: We’re putting the finishing touches on the last day of August and last day of ...
1,638501569130950656,West Nile virus found across DeKalb County:
2,638501432094670848,European efforts to stem migrant tide sow chaos on Austrian-Hungarian Border
3,638501569089040384,"Heads up for official China PMIs in one hour. Manufacturing gauge may decrease to 49.8 from 50 in July, say economists polled by Dow Jones."
4,638501569319702528,San Diego is top travel destination for Labor Day weekend:
5,638501575200149504,We're taking confidence lessons from ddlovato because she is absolutely killing the game.
6,638501719727443969,Maricopa County: Special Weather Statement issued August 31 at 4:23PM MST by NWS  #azwx
7,638501585992200192,See what a former Subway executive is saying about their former spokes person Jared Fogle.
8,638501585472094208,"MT @PBSNature: The countdown to #BigBlueLive is on! Join @PBS, @MontereyAq, @KQED for the LIVE event at 8pm ET &amp; PT!"
9,638501818377502720,White House addresses Kanyes presidency bid
10,638501697401286656,UPDATE: Cause Of Death Released After Baseball Fan Falls At Turner Field   #braves #sports #news
11,638501850195431424,We welcome September with open arms! Why? Because by the middle of the month the normal high will be in the 80s!!
12,638501737201053701,RT @jtotheizzoe: #BigBlueLive is happening NOW on @PBS! This is how excited I am!
13,638501926255116288,Hulk Hogan: 'I'm not a racist'
14,638501963051704320,Lessig 2016 | Referendum for Citizen Equality
15,638501972128198656,"Predictive #analytics and practical applications for the everyday marketer, #BigData"
16,638502015748866048,"PD will treat protest like protest, ""riot like a riot,” @CommishKDavis said of poss events Wed. “We can’t afford to get those two mixed up.”"
17,638501929664954368,Press TV talks with ex Daesh member  via @PressTV
18,638501907250544640,Meteorological summer ends today. At DFW it was the 18th warmest and 34th driest on record. #dfwwx
19,638502081809133568,"LIVE on #Periscope: At the FOX66 newsroom in Flint, Michigan"
20,638502468251459584,Good Evening! Here is today's #weather almanac for Baton Rouge:
21,638502479089369088,The establishment is trying its hardest to delegitimize the #BlackLivesMatter movement but ppl w/true hearts will see thro the charade
22,638502782970953728,LOOK: Today's Inquirer on #IglesiaNiCristo #APEC2015    | @inquirerplus
23,638502808250028032,"If you missed the #VMAs, catch up here:  (US Only)"
24,638502579618639873,Rain accumulation in the 24 hrs to 11am this morning. Auckland was right in the firing line. ^EB
25,638502829926318080,RT @kelseyb23: SLIDESHOW: Most embarrassing Google searches (by state)  #scnews
26,638502758006566912,A hot start to September tomorrow! I'll show you how long the heat streak will last from tonight's CTV News at Six.
27,638502839661260801,Africa Update
28,638503299218583552,No surprise here: Supreme Court says Kentucky clerk can't deny same-sex marriage licenses  via @usatoday #SCOTUS #SSM
29,638502870904668162,Who is Bear Grylls and why is he 'Running Wild'?
30,638503124949422082,"RT @AP: MORE: Supreme Court rules against clerk in Kentucky gay marriage case, clerk must issue licenses"
31,638502881922973696,LIVE on #Periscope
32,638503142636711936,Will Canada wind up in a recession?: Canadians will learn Tuesday how the broader Canadian economy is performing…
33,638503155769180160,US Open 2015: Serena Williams v Vitalia Diatchenko – live!
34,638502925870850048,RT @dizzylimit: Putin the Inspirational  via @juliaioffe
35,638503557021327360,Mocked artist gets nod of approval from Tom Brady -- see her newest sketch:
36,638503480982831104,Hi from Puerto rico! Will be snapping from here all week with the @Challenged crew follow me&gt; shiralazar
37,638503332408115200,Finally read that piece by the journo w/ my name. Get some of the hate. He crushed a guy he never read who just died
38,638503486997397504,PIA-13 Weather UpdatesAGUSAN DEL SUR: Clear skiesBAYUGAN CITY: Clear skies
39,638503425492193280,#NHC Tropical Update Atlantic Tropical Weather Outlook  AutoTweet
40,638503565535879168,Wow! I had no idea! #FiOSNY
41,638503449739591681,"Happy birthday to my forever favorite and the ORIGINAL New Jersey savior, @joebudden (even though I…"
42,638503338561142784,Cuomo will lead delegation to Puerto Rico amid debt crisis
43,638503487119196161,Denali is such a pretty name anyway
44,638503559386894337,New Zealand unveils shortlist of four for its new flag
45,638504281188904960,LIVE on #Periscope: Behind the scenes of #BigBlueLive! @msanjayan is hopping on a boat to take us out in Monterey B…
46,638504147378143232,Hulk Hogan Apologizes For Racist Remarks.
47,638503615452327937,@JanetJackson starts a cool tour tonight. What has she done for us lately? We'll see soon thanks to Jimmy Jam @flytetymejam
48,638503581713321985,RT @5cupcakes: Learn more about the Bandwidth Effect  #FiOSNY
49,638503579301494784,*warning: not one has a kiwi on it* New Zealand announces final shortlist for new flag design – live!
50,638503580652056576,RT @p_mccaffrey: Oh my god. #FashionPolice has @GiulianaRancic @MelRivers @NeNeLeakes and @margaretcho on. COULD THIS BE ANY BETTER.
51,638503574318747648,5:08 PM Radar Check: Iso-Scattered storms generally from #Tucson and E. Slow movers with hvy rain. #azwx
52,638503608095481860,RT @PapaESoCo: Breaking: Massive explosion just hit another city in China  via @motherjones
53,638504146597908480,When I look at the weather app and it says Sydney is 14 and Suva is 27
54,638504359656075266,RT @marcopolobeats: Was back in the lab with my brother @Torae today and it was good times
55,638504358422913025,RefugeesMigrantsAliensForeigners#Europe preaches human values but chooses to toss about words while ppl perish
56,638504326005059584,California dreaminnn. - @GiulianaRancic #FashionPolice
57,638504376034836480,Supreme Court rebuffs Kentucky county clerk who sought exemption to issuing same-sex marriage licenses  #LGBT
58,638504461246271488,"RT @DavidClinchNews: Where there was once a beautiful temple in #Palmyra, there is now only dust per @UNOSAT satellite images:"
59,638504416069427200,RT @MileyCyrus: Listen to Miley Cyrus &amp; Her Dead Petz fo freeeeeee now @  #MCandHerDeadPetz
60,638504410629312512,TRAFFIC UPDATE: As of 8AM Along Maysan Road West Bound and East Bound cor CJ Santos(M) #VCC3
61,638504367205711874,LIVE on #Periscope: Boulder neighbors share their ideas for Boulder's future
62,638504465130110976,It's raining in Vancouver and @JanetJackson is doing her final soundcheck for the #UnbreakableWorldTour Remember....
63,638504372293496832,RT @jenanmoussa: I reported days ago that #IS put explosives around Bel Temple in #Palmyra. Now reports temple is damaged. Huge blast heard…
64,638504440580837378,"RT @FREE_2_LUV: Friends, we want 2 know what LOVE means 2 U. You have til 8.31 to submit your #LoveWins essay 4 chance 2 WIN $1K+pub!"
65,638504326307123200,RT @PaulFox13: Random showers/t-storms around #Tampa including this one just west of @FOX13News. Showers moving NW 10 mph
66,638504587083714560,Ground operations aimed @liberating #Marib_Province have begun east of #Yemen. Military equipment transferred 2border
67,638504558868590592,RT @JeanChavarria: Lol @margaretcho is hilarious #FashionPolice
68,638504944514007040,@DHannebery is the last man standing -  He needs seven votes to win the Coaches award. #goswans
69,638504499401912321,"RT @cnnbrk: Bel Temple in #Palmyra, #Syria, ""still standing,"" despite report #ISIS had destroyed it, antiquities chief says"
70,638504932694294528,Melissa Rivers Cleans Up Old ''Messes'' From Seasons Past in Hilarious Fashion Police Clip: Watch Now!
71,638504951904399360,A pro-Uber Uber driver praises the company.
72,638504554825416705,Temps are finally inching down a few degrees. Your workday forecast is next on NBC4
73,638505054824062976,"Jermaine Dupri, Bow Wow - WYA (Where You At?)  via @YouTube"
74,638505255186132992,RT @PBS: Have a question or want to know what ppl are saying about #BigBlueLive? Visit our social hub &amp; join the conversation:
75,638505303231692800,Thanks to @SusanSarandon &amp; @helenprejean for sharing #RichardGlossip’s story today. Watch video from the show here:
76,638505310970363904,These are the unfriendliest cities in the world
77,638505306792701952,"Body, human remains found in W. Philly funeral home that may be unlicensed"
78,638505052982804480,RT @NWSKansasCity: How much precipitation will September bring? Here's a look at the Kansas City totals through August.
79,638505389013733376,Hunger rises in Somalia as el Nino floods loom
80,638505361922748416,God welcomes Jared Fogle from Subway on his new podcast:
81,638505433163038721,@Emmarocton05 Thanks for helping us save #EndangeredEmoji. Here's your optional donation:
82,638505422069071872,"Transparency can’t just be a value journalists hold others to, it must be a virtue we embody... ~@jcstearns"
83,638505436774174720,Here's a look at our region's 7 Day Forecast. For more on the forecast click:    #ncwx #cltwx
