Key,Values
0,"[0, 357, 1216, 1373, 1430, 1448, 1460, 1488, 2594, 2784, 3602, 3840, 3880, 3894, 4039, 4058, 4362, 4434, 4561, 4568, 4625, 4797, 5003, 5485, 5515, 5518, 5664, 5757, 5995, 7106, 7476, 7525, 9038, 12130, 23576, 29110, 31174, 49737, 62384, 73104, 102576, 103077, 121745, 130666, 145450, 146944, 172072, 183603, 184760, 238661, 248938]"
1,"[0, 83973, 132031, 210321, 239534, 255446]"
2,"[0, 5326, 7397, 57994, 103641, 181347]"
3,"[1, 106, 217, 629, 1325, 6634, 9134, 10795, 17114, 22173, 83036, 132877, 151447, 174505, 208074, 246439]"
4,"[2, 46184, 129431, 131155, 139634]"
5,"[3, 1648, 2799, 196041, 208937, 209001, 209018, 209057, 209072]"
6,"[4, 17474, 68607, 86592, 140519, 153298, 199848, 201097, 210864, 217170, 243908]"
7,"[5, 9341, 14069, 50397, 52814, 53157, 89283, 106459, 120981, 174533, 175484, 175833, 176155, 176187, 176188, 176430, 181262, 218298, 222066, 254412]"
8,"[5, 41708, 106459, 185004, 254272, 260529]"
9,"[6, 1038, 1040, 1367, 32502, 114497, 114791, 134217, 208018]"
10,"[6, 1040, 1042, 41965, 134025, 134217, 185440]"
11,"[7, 80, 311, 6435, 6916, 7419, 8356, 10282, 11416, 11426, 11500, 15246, 16824, 40234, 48663, 112033, 112121, 121167, 122073, 130724, 170580, 174413]"
12,"[8, 45, 120, 310, 660, 847, 1063, 1164, 5763, 6539, 9447, 9724, 10192, 10275, 10306, 10311, 10351, 10610, 10784, 11489, 11632, 20556, 20928, 22520, 88526]"
13,"[8, 12, 74, 168, 660, 1031, 1119, 8002, 8935, 10150, 10271, 10280, 10351, 10784, 11292, 19051, 19333, 19928, 20281, 20424, 21025, 21731, 22156, 39272, 48791, 85553, 249653, 259687]"
14,"[9, 1196, 2130, 5832, 10432, 21173, 26935, 48285, 51930, 75012, 92654, 94613, 95895, 103499, 134107, 152745, 152922, 162112, 165756, 179551, 249649, 255230, 257667]"
15,"[10, 18860, 108017, 122257, 178709, 181614, 214508, 248536]"
16,"[11, 560, 2371, 3779, 5572, 5681, 5861, 8261, 8466, 8613, 14131, 16304, 16943, 19103, 19893, 24908, 27089, 42999, 56649, 58084, 66532, 110865, 121044, 122249, 125135, 126509, 129854, 137899, 143084, 153606, 171236, 181096, 185085, 185341, 199673, 199972, 200210, 206966, 219016, 226898, 250188, 257355, 259510]"
17,"[11, 2672, 3112, 4826, 6416, 8466, 10052, 84446, 91330, 126711, 160095, 160692, 180528, 186630, 240081, 247365, 254585, 261668]"
18,"[13, 46, 819, 2001, 11812]"
19,"[14, 18755, 27293, 40345, 50914, 58911, 87811, 200195, 239765]"
20,"[15, 173389, 201967]"
21,"[15, 892, 14218, 21044, 22952, 66459, 101075, 115488, 179761, 201967]"
22,"[16, 67560, 85884, 95273, 115352, 152589, 206198, 237930]"
23,"[17, 797, 40678, 72020, 72070, 100303, 109341, 112660, 124947, 158778, 179151, 181298, 183959, 193477, 194563, 202715, 203073, 210926, 229020, 245289]"
24,"[18, 8176, 58435, 59216, 64797, 78950, 78961, 83361, 83914, 88141, 88241, 105760, 117754, 127852, 177302, 190905, 230803, 236997, 250892]"
25,"[19, 5201, 17606, 45566, 93799, 95468, 134827, 172233, 173302, 185076, 188032, 209196, 227922, 243082]"
26,"[20, 1218, 51374, 51596]"
27,"[21, 674, 2667, 7190, 9360, 10368, 11177, 13201, 16249, 18069, 21398, 21951, 26892, 37366, 38243, 39873, 42082, 47313, 47911, 49442, 57435, 57914, 59462, 87591, 121464, 121827, 121924, 128638, 128687, 137991, 142359, 151123, 152884, 154389, 154831, 160163, 160342, 173973, 178092, 182228, 182315, 186596, 187051, 200289, 214591, 216594, 217193, 222793, 235525, 243774, 257065, 260011, 260321]"
